,tb_latitude,tb_longitude,collision_severity,type_of_collision,mviw,ped_action,DRIVE_DANGER_SCORE,WALK_DANGER_SCORE,AVERAGE_SCORE
21,37.7797131776,-122.431981955,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
22,37.7355711177,-122.506135125,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
23,37.7823619294,-122.403842814,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
24,37.7630425421,-122.488909734,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
25,37.7328303607,-122.432126547,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
26,37.7890163373,-122.410242438,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
27,37.7392358314,-122.466157327,Injury (Other Visible),Head-On,Fixed Object,No Pedestrian Involved,3,0,1.5
28,37.8060277176,-122.410310842,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
29,37.7845682411,-122.431204946,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
30,37.7469160465,-122.447835867,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
31,,,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
32,37.7933591,-122.398781647,Injury (Other Visible),Not Stated,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
33,37.805417172,-122.415241485,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
34,37.7768682302,-122.472039542,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
35,37.7729599441,-122.511282102,Injury (Complaint of Pain),Not Stated,Pedestrian,Crossing in Crosswalk Not at Intersection,0,3,1.5
36,37.7322084792,-122.418965756,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
37,37.7880701882,-122.425236501,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
38,37.7690534539,-122.410813794,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
39,37.7665395762,-122.422043812,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
40,37.7872452103,-122.416638697,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
41,37.770629854,-122.412479935,Injury (Other Visible),Not Stated,Not Stated,Not Stated,0,0,0.0
42,37.7871491436,-122.409874016,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,0,3,1.5
43,37.7823789433,-122.41733888,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
44,37.7718039249,-122.422598708,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
45,37.7887457772,-122.423688455,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
46,37.7811772177,-122.411699932,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
47,37.7324322923,-122.481875442,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
48,37.7897141483,-122.39763584,Injury (Complaint of Pain),Sideswipe,Not Stated,No Pedestrian Involved,0,0,0.0
49,37.7368009626,-122.424213384,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
50,37.7691783692,-122.433572208,Injury (Complaint of Pain),Head-On,Fixed Object,No Pedestrian Involved,1,0,0.5
51,37.7836609083,-122.414737283,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
52,37.7273643359,-122.419881206,Injury (Complaint of Pain),Head-On,Fixed Object,No Pedestrian Involved,1,0,0.5
53,37.7908941083,-122.398994789,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
54,37.7639692869,-122.509833065,Injury (Complaint of Pain),Other,Fixed Object,No Pedestrian Involved,1,0,0.5
55,37.7724640402,-122.406890193,Injury (Complaint of Pain),Sideswipe,Pedestrian,"In Road, Including Shoulder",0,3,1.5
56,37.7843704557,-122.47424554,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
57,37.7742492371,-122.458839683,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
58,37.7800295871,-122.406791956,Injury (Other Visible),Other,Bicycle,No Pedestrian Involved,2,0,1.0
59,37.7701827377,-122.422394277,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
60,37.7910194913,-122.397390394,Injury (Complaint of Pain),Other,Other Object,No Pedestrian Involved,1,0,0.5
61,37.7777544012,-122.400354201,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
62,37.7087430544,-122.42161733,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
63,37.7285743207,-122.405091018,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
64,37.7346255723,-122.47510247,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
65,37.7962722515,-122.426892729,Injury (Complaint of Pain),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
66,37.7659628347,-122.464296829,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
67,37.7236162088,-122.400784748,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
68,37.7483871153,-122.428932782,Injury (Complaint of Pain),Vehicle/Pedestrian,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
69,37.7739673431,-122.402046025,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
70,37.7461629495,-122.39404894,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
71,37.7628446356,-122.429240028,Injury (Complaint of Pain),Other,Non-Collision,No Pedestrian Involved,1,0,0.5
72,37.727793597,-122.474691813,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
73,37.78651982,-122.414806648,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
74,37.711188573,-122.403650108,Injury (Complaint of Pain),Not Stated,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
75,37.7636967664,-122.415155086,Injury (Complaint of Pain),Not Stated,Not Stated,No Pedestrian Involved,0,0,0.0
76,37.7787447806,-122.478186911,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
77,37.7429806173,-122.388455029,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
78,37.760888933,-122.435000702,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
79,37.7273992122,-122.403496906,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
80,37.7494051145,-122.403007173,Injury (Severe),Head-On,Fixed Object,No Pedestrian Involved,4,0,2.0
81,37.7882931938,-122.40840155,Injury (Complaint of Pain),Hit Object,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
82,37.7712548551,-122.452107014,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
83,37.7262553888,-122.403785461,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
84,37.7850419166,-122.426583702,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
85,37.7681396833,-122.422199174,Injury (Complaint of Pain),Head-On,Bicycle,No Pedestrian Involved,1,0,0.5
86,37.7616993748,-122.477010887,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
87,37.7488331036,-122.406385113,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
88,37.7505122778,-122.476163214,Injury (Complaint of Pain),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
89,37.7547612306,-122.429961675,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
90,37.7100817836,-122.409486026,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
91,37.7577784107,-122.505741871,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
92,37.7690945009,-122.410817812,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
93,37.8047682938,-122.412768515,Injury (Complaint of Pain),Not Stated,Not Stated,Not Stated,0,0,0.0
94,37.7270280532,-122.474752013,Injury (Complaint of Pain),Other,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
95,37.7105934392,-122.46928846,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
96,37.7339670973,-122.490549139,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
97,37.7114225418425,-122.463030027835,Injury (Other Visible),Rear End,Other Motor Vehicle,Crossing in Crosswalk Not at Intersection,6,2,4.0
98,37.7756027628,-122.403076401,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
99,37.7314649982,-122.454915879,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
100,37.7483550991,-122.410939425,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
101,37.7730879843,-122.437781332,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
102,37.7825850333,-122.415693872,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not Stated,0,3,1.5
103,37.7804785122,-122.412512256,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
104,37.7820632185,-122.401208492,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
105,37.7220582752,-122.450133845,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
106,37.727634127,-122.403592889,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
107,37.7286395234,-122.405118033,Injury (Other Visible),Head-On,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
108,37.7708151015,-122.486723504,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
109,37.7735323762,-122.416104162,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
110,37.7392743055,-122.442507611,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
111,37.7178334454,-122.442328163,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
112,37.7812863873,-122.422186711,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
113,37.7520468097,-122.421595152,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
114,37.7781739531,-122.415502021,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
115,37.7830040784,-122.412411747,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
116,37.7166304793,-122.45608692,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
117,37.7898722962,-122.440805573,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
118,37.7804703413,-122.416947605,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
119,37.7913109711,-122.392524623,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
120,37.731651525,-122.431685404,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
121,37.7254756503,-122.394243493,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
122,37.7957371093,-122.423413055,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
123,37.7697371832,-122.424539657,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
124,37.7466509874,-122.443126653,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
125,37.7715951033,-122.422526344,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
126,37.776798747,-122.395349432,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
127,37.7119445095,-122.428384177,Injury (Complaint of Pain),Other,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
128,37.8066736313,-122.405658785,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
129,37.7541809633,-122.414241412,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
130,37.796707346,-122.423588491,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
131,37.7317715318,-122.424532501,Injury (Other Visible),Head-On,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
132,37.7161771048,-122.441233453,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
133,37.766013731,-122.430824396,Injury (Other Visible),Head-On,Bicycle,No Pedestrian Involved,2,0,1.0
134,37.7827932411,-122.444286463,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
135,37.7211343449,-122.437511431,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
136,37.7194060374,-122.43261036,Injury (Complaint of Pain),Head-On,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
137,37.7844488416,-122.416071734,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
138,37.7725249174,-122.427158445,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
139,37.781960766,-122.42063825,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
140,37.7604910094,-122.3885564,Injury (Complaint of Pain),Broadside,Train,No Pedestrian Involved,2,0,1.0
141,37.7268240497,-122.472056885,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
142,37.7816399914,-122.49316991,Injury (Other Visible),Rear End,Bicycle,No Pedestrian Involved,2,0,1.0
143,37.7974201856,-122.410263525,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
144,37.7157534444,-122.441554284,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
145,37.7622907257,-122.438418297,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
146,37.7102615164,-122.448583205,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
147,37.7752323354,-122.420959921,Injury (Complaint of Pain),Rear End,Not Stated,No Pedestrian Involved,0,0,0.0
148,37.7767596778,-122.431384423,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
149,37.8002391593,-122.410833639,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
150,37.7102307687,-122.451905549,Injury (Complaint of Pain),Vehicle/Pedestrian,Not Stated,Not in Road,0,0,0.0
151,37.7957371093,-122.423413055,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
152,37.7678690191,-122.426693184,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
153,37.7651601773,-122.483685437,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
154,37.7802649727,-122.403387209,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
155,37.7870692958,-122.392434123,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
156,37.7648459071,-122.500857016,Injury (Complaint of Pain),Vehicle/Pedestrian,Not Stated,Crossing in Crosswalk at Intersection,0,0,0.0
157,37.7682736534,-122.419981512,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
158,37.780005869,-122.411933409,Injury (Complaint of Pain),Other,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
159,37.7395643278,-122.469975198,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
160,37.7833108897,-122.417528773,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
161,37.7599877677,-122.495756818,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
162,37.7762188506,-122.414696402,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
163,37.72525955,-122.503040637,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
164,37.7236904763,-122.401966343,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
165,37.7216606033,-122.471983399,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
166,37.7491383395,-122.416518515,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
167,37.731065754,-122.474856604,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
168,37.8037271297,-122.428400275,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
169,37.7760442858,-122.429554057,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
170,37.7696605403,-122.391070408,Injury (Complaint of Pain),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
171,37.7234279884,-122.400707651,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
172,37.7989518501,-122.43586632,Injury (Complaint of Pain),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
173,37.7114771693,-122.440108459,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
174,37.7867370338,-122.41485055,Injury (Other Visible),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
175,37.7671524805,-122.406504526,Injury (Severe),Other,Other Object,No Pedestrian Involved,4,0,2.0
176,37.7236372162,-122.462273545,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
177,37.7459538571,-122.402026702,Injury (Complaint of Pain),Overturned,Non-Collision,No Pedestrian Involved,1,0,0.5
178,37.7681994523,-122.421209882,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
179,37.7470334031,-122.424689794,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
180,37.7736312151,-122.39145141,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
181,37.7306583524,-122.403400462,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
182,37.7824572725,-122.475235623,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
183,37.7429555725,-122.477836243,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
184,37.7587301053,-122.476811453,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,Crossing in Crosswalk at Intersection,3,1,2.0
185,37.7286576043,-122.41495595,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
186,37.8050548709,-122.418103789,Injury (Complaint of Pain),Rear End,Other Object,No Pedestrian Involved,1,0,0.5
187,37.7481181105,-122.403537293,Injury (Severe),Head-On,Bicycle,No Pedestrian Involved,2,0,1.0
188,37.7816455843,-122.430609199,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
189,37.780866284,-122.414154479,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
190,37.7104276203,-122.454243089,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
191,37.7700517194,-122.413046079,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
192,37.766013731,-122.430824396,Injury (Complaint of Pain),Vehicle/Pedestrian,Not Stated,Not Stated,0,0,0.0
193,37.7821907213,-122.407164383,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
194,37.8004280468,-122.42425623,Injury (Complaint of Pain),Not Stated,Not Stated,No Pedestrian Involved,0,0,0.0
195,37.7316259396,-122.440732142,Injury (Severe),Rear End,Not Stated,No Pedestrian Involved,0,0,0.0
196,37.7698150783,-122.417753194,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
197,37.7269499139,-122.476039472,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
198,37.7991984384,-122.419048779,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
199,37.7158218108,-122.439658928,Injury (Complaint of Pain),Rear End,Not Stated,No Pedestrian Involved,0,0,0.0
200,37.7702821417,-122.391129838,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
201,37.7876418485,-122.403430801,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
202,37.7473310809,-122.403886341,Injury (Complaint of Pain),Overturned,Non-Collision,No Pedestrian Involved,1,0,0.5
203,37.7346176626,-122.477080829,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
204,37.7620623143,-122.415608997,Injury (Other Visible),Sideswipe,Other Object,No Pedestrian Involved,3,0,1.5
205,37.7797413624,-122.423555013,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
206,37.7374062463,-122.424040149,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
207,37.7734070108,-122.506821259,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,2,10,6.0
208,37.7880701884,-122.425236501,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
209,37.7859677461,-122.44172632,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
210,37.7757873155,-122.393355125,Injury (Other Visible),Not Stated,Other Object,No Pedestrian Involved,3,0,1.5
211,37.7460987679,-122.426891189,Injury (Complaint of Pain),Other,Non-Collision,No Pedestrian Involved,1,0,0.5
212,37.7821692701,-122.418993274,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
213,37.8054966485,-122.422006822,Injury (Complaint of Pain),Sideswipe,Fixed Object,No Pedestrian Involved,1,0,0.5
214,37.755330099,-122.414352043,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
215,37.7567402938,-122.504594138,Injury (Complaint of Pain),Head-On,Pedestrian,No Pedestrian Involved,0,0,0.0
